,code,country,capital,area,population
BR,Brazil,Brasilia,8.516,200
RU,Russia,Moscow,17.10,143
IN,iNDIA,New Delhi,3.286,1252
CH,China,Beijing,9.597,1357
SA,Sout Africa, Pretoria,1.221,52.98
